상병코드,성별,연령대,연도,진료실원수,내원일수,처방일수,요양급여비용,본인부담금
F51,남,0_9세,2021,346,508,515,27527,20909
F51,남,10_19세,2021,1465,4165,4131,272161,202773
F51,남,20_29세,2021,11437,46081,45901,2114879,1616823
F51,남,30_39세,2021,14709,66951,66139,2799704,2145853
F51,남,40_49세,2021,20117,94995,94301,3620314,2766252
F51,남,50_59세,2021,26754,122129,121594,4303088,3273269
F51,남,60_69세,2021,34756,169782,168913,5886174,4524748
F51,남,70_79세,2021,31209,160421,159870,5309270,4046239
F51,남,80세이상,2021,16986,88863,88001,2565285,1982287
F51,여,0_9세,2021,287,371,374,14873,11151
F51,여,10_19세,2021,1553,4630,4630,268505,207232
F51,여,20_29세,2021,14172,65502,65416,3168868,2458534
F51,여,30_39세,2021,21577,120092,119687,4952969,3818288
F51,여,40_49세,2021,31757,165963,165932,6025231,4612047
F51,여,50_59세,2021,46142,206226,206231,7042294,5363351
F51,여,60_69세,2021,54933,252788,252397,8674506,6690397
F51,여,70_79세,2021,39305,185935,185622,6047554,4722312
F51,여,80세이상,2021,22776,107218,105949,3020041,2350946
F51,남,0_9세,2022,279,394,397,25444,19180
F51,남,10_19세,2022,1526,4375,4371,294965,220208
F51,남,20_29세,2022,12191,47809,47551,2379156,1821467
F51,남,30_39세,2022,15502,70511,70092,3138467,2404165
F51,남,40_49세,2022,21212,100304,99988,4005208,3054760
F51,남,50_59세,2022,27621,125965,125545,4656659,3545557
F51,남,60_69세,2022,37122,178725,178168,6383043,4918909
F51,남,70_79세,2022,32324,164799,163751,5658862,4332886
F51,남,80세이상,2022,18847,97048,96012,2939867,2282663
F51,여,0_9세,2022,226,355,356,17787,13750
F51,여,10_19세,2022,1577,4962,4961,322162,248316
F51,여,20_29세,2022,14289,63929,63919,3329262,2572639
F51,여,30_39세,2022,21549,115075,114867,5134697,3955709
F51,여,40_49세,2022,32946,173570,173413,6646177,5091468
F51,여,50_59세,2022,46918,214555,214280,7698357,5879262
F51,여,60_69세,2022,58587,272414,271678,9778695,7570960
F51,여,70_79세,2022,41607,198357,198048,6756670,5296764
F51,여,80세이상,2022,25199,118922,117223,3504440,2740206
F51,남,0_9세,2023,276,410,412,27657,20093
F51,남,10_19세,2023,1387,4056,4041,288733,219423
F51,남,20_29세,2023,11948,47409,47308,2513535,1917578
F51,남,30_39세,2023,15973,73645,73324,3562421,2724786
F51,남,40_49세,2023,22070,105177,105149,4554526,3470527
F51,남,50_59세,2023,28299,131334,131075,5149318,3918468
F51,남,60_69세,2023,38899,190202,189302,7157429,5516124
F51,남,70_79세,2023,33494,172517,172060,6209327,4758563
F51,남,80세이상,2023,20311,104672,104100,3312222,2570867
F51,여,0_9세,2023,219,335,342,20696,16337
F51,여,10_19세,2023,1548,4838,4839,345868,267639
F51,여,20_29세,2023,13940,62463,62413,3546527,2733697
F51,여,30_39세,2023,21045,111685,111160,5525972,4247423
F51,여,40_49세,2023,33471,180766,180540,7487027,5727640
F51,여,50_59세,2023,47120,219967,220008,8405261,6425036
F51,여,60_69세,2023,60591,286453,285883,10708844,8285312
F51,여,70_79세,2023,42755,209761,209588,7504041,5881289
F51,여,80세이상,2023,26688,128274,127272,4001047,3124956
F51,남,0_9세,2024,226,444,453,34276,25360
F51,남,10_19세,2024,1384,3946,3942,298354,227762
F51,남,20_29세,2024,11470,46393,46265,2611788,1988057
F51,남,30_39세,2024,16454,75658,75575,3933110,3003111
F51,남,40_49세,2024,22288,110006,109418,5095986,3884731
F51,남,50_59세,2024,28967,138156,137732,5769076,4388275
F51,남,60_69세,2024,39996,197724,197281,7765793,5989912
F51,남,70_79세,2024,34609,182575,182163,6776598,5206588
F51,남,80세이상,2024,21086,111792,111530,3729486,2892177
F51,여,0_9세,2024,184,281,282,23484,17674
F51,여,10_19세,2024,1625,4993,4900,370172,284369
F51,여,20_29세,2024,13450,60667,60335,3787939,2904423
F51,여,30_39세,2024,20180,110402,109824,5923729,4540390
F51,여,40_49세,2024,33129,182450,182398,8183758,6257230
F51,여,50_59세,2024,47666,231180,230981,9334916,7132120
F51,여,60_69세,2024,62717,302270,301466,11798941,9128050
F51,여,70_79세,2024,45145,224441,224067,8399733,6579723
F51,여,80세이상,2024,28039,138207,136622,4597792,3593940
