ingredient_list,n_products,avg_price,avg_rating,total_reviews
magnesium,338,27440.25958702065,4.747787610619469,1975061
glycine,31,27986.870967741936,4.738709677419355,100520
valerian,12,14917.333333333334,4.616666666666666,29827
passion_flower,8,14120.0,4.6125,15101
tryptophan,8,25965.25,4.6125,14259
chamomile,6,10790.333333333334,4.6000000000000005,4975
melatonin,6,25722.0,4.6000000000000005,996
theanine,6,17985.333333333332,4.7,6036
ashwagandha,5,28685.2,4.779999999999999,2760
lemon_balm,1,24220.0,4.5,156
