ingredient_kor,iherb_count,naver_count,opportunity_score
마그네슘,339.0,15.0,144.6
멜라토닌,6.0,173.0,106.2
식물성 멜라토닌,0.0,50.0,30.0
L-트립토판,8.0,36.0,24.799999999999997
테아닌,6.0,35.0,23.4
락티움,0.0,23.0,13.799999999999999
글리신,31.0,2.0,13.6
타트체리,1.0,21.0,13.0
GABA,0.0,16.0,9.6
아슈와간다,5.0,9.0,7.3999999999999995
발레리안 뿌리,12.0,4.0,7.200000000000001
감태추출물,0.0,11.0,6.6
패션플라워,8.0,3.0,5.0
흑하랑 상추,0.0,8.0,4.8
캐모마일,6.0,1.0,3.0000000000000004
레몬밤,1.0,3.0,2.1999999999999997
미강주정추출물,0.0,2.0,1.2
타우린,1.0,1.0,1.0
이노시톨,1.0,0.0,0.4
