ingredient,naver_count,iherb_count,naver_share,iherb_share,total_count
L-트립토판,99.0,8.0,18.574108818011258,10.526315789473683,107.0
테아닌,98.0,6.0,18.386491557223263,7.894736842105263,104.0
타트체리,94.0,0.0,17.636022514071296,0.0,94.0
락티움,57.0,0.0,10.694183864915573,0.0,57.0
GABA,52.0,0.0,9.75609756097561,0.0,52.0
글리신,14.0,31.0,2.6266416510318953,40.78947368421053,45.0
발레리안 뿌리,20.0,12.0,3.75234521575985,15.789473684210526,32.0
아쉬아간다,26.0,5.0,4.878048780487805,6.578947368421052,31.0
감태추출물,28.0,0.0,5.253283302063791,0.0,28.0
흑하랑 상추,26.0,0.0,4.878048780487805,0.0,26.0
미강주정추출물,14.0,0.0,2.6266416510318953,0.0,14.0
패션플라워,0.0,8.0,0.0,10.526315789473683,8.0
캐모마일,1.0,6.0,0.18761726078799248,7.894736842105263,7.0
레몬밤,2.0,0.0,0.37523452157598497,0.0,2.0
타우린,2.0,0.0,0.37523452157598497,0.0,2.0
